strain,phage,interaction
ECOR54,55989_P2,0
DIJ06,55989_P2,0
ECOR52,55989_P2,0
ECOR51,55989_P2,1
ECOR55,55989_P2,1
IAI54,55989_P2,1
ECOR57,55989_P2,1
IAI72,55989_P2,0
NILS59,55989_P2,1
LF31,55989_P2,1
NILS71,55989_P2,0
AN17,55989_P2,0
T147,55989_P2,0
ECOR56,55989_P2,1
NILS74,55989_P2,1
IAI68,55989_P2,0
IAI62,55989_P2,1
IAI63,55989_P2,0
NILS79,55989_P2,1
NILS72,55989_P2,1
IAI76,55989_P2,1
IAI75,55989_P2,1
NILS29,55989_P2,1
NILS65,55989_P2,0
IAI57,55989_P2,1
IAI82,55989_P2,1
IAI73,55989_P2,1
536,55989_P2,1
IAI64,55989_P2,1
NILS81,55989_P2,1
IAI55,55989_P2,1
IAI70,55989_P2,0
NILS82,55989_P2,1
NILS78,55989_P2,0
NILS57,55989_P2,1
AL505,55989_P2,0
NILS67,55989_P2,1
IAI60,55989_P2,1
IAI66,55989_P2,0
IAI46,55989_P2,1
LF7074,55989_P2,1
IAI56,55989_P2,1
IAI61,55989_P2,1
ECOR61,55989_P2,1
ECOR62,55989_P2,1
IAI38,55989_P2,1
IAI59,55989_P2,1
IAI69,55989_P2,1
IAI65,55989_P2,1
NILS68,55989_P2,1
NILS21,55989_P2,1
NILS66,55989_P2,1
ECOR59,55989_P2,0
ECOR60,55989_P2,0
IAI71,55989_P2,1
NILS75,55989_P2,1
IAI77,55989_P2,0
NILS70,55989_P2,0
ECOR53,55989_P2,0
IAI74,55989_P2,1
NILS54,55989_P2,0
T145,55989_P2,0
IAI51,55989_P2,0
NILS62,55989_P2,0
MT1B1,55989_P2,0
NILS61,55989_P2,0
LF82,55989_P2,1
LF73,55989_P2,1
NRG807C,55989_P2,1
NILS26,55989_P2,0
NILS80,55989_P2,1
IAI53,55989_P2,1
T205,55989_P2,0
ED1A,55989_P2,0
034026C1,55989_P2,0
035004,55989_P2,0
VDG427,55989_P2,0
IAI48,55989_P2,1
BEN4D,55989_P2,0
NILS20,55989_P2,0
034008,55989_P2,0
001031C1,55989_P2,0
013008,55989_P2,0
COLF12G,55989_P2,1
381A,55989_P2,1
ECOR65,55989_P2,1
IAI49,55989_P2,1
NILS77,55989_P2,1
IAI78,55989_P2,0
IAI81,55989_P2,1
IAI79,55989_P2,1
IAI80,55989_P2,1
ECOR64,55989_P2,0
IAI67,55989_P2,1
NILS28,55989_P2,1
NILS58,55989_P2,0
IAI47,55989_P2,1
ECOR63,55989_P2,1
ASP51G,55989_P2,1
S176,55989_P2,0
H10030035DE,55989_P2,1
S21,55989_P2,1
FN116,55989_P2,0
FNB9,55989_P2,0
FN126,55989_P2,0
S111,55989_P2,0
FN89,55989_P2,0
NILS64,55989_P2,0
LI10,55989_P2,0
NILS25,55989_P2,0
NILS55,55989_P2,0
NILS27,55989_P2,0
NILS73,55989_P2,0
NILS19,55989_P2,0
LM33,55989_P2,0
NILS44,55989_P2,0
NILS53,55989_P2,0
NILS76,55989_P2,0
NILS63,55989_P2,0
NILS69,55989_P2,0
ECOR66,55989_P2,0
E234869,55989_P2,0
FNB7,55989_P2,0
DEC2A,55989_P2,0
DEC1A,55989_P2,0
FNB4,55989_P2,0
BDX09,55989_P2,1
AN03,55989_P2,1
H10010155MI,55989_P2,0
H10010034SM,55989_P2,1
NILS60,55989_P2,1
H10010053KC,55989_P2,0
H10030054PP,55989_P2,1
B1932,55989_P2,1
ROAR434,55989_P2,1
001023,55989_P2,1
003026,55989_P2,1
921A,55989_P2,1
916A,55989_P2,1
E1426,55989_P2,1
H95,55989_P2,1
H10020069VG,55989_P2,1
ECOR38,55989_P2,0
ECOR39,55989_P2,1
ECOR41,55989_P2,0
ECOR40,55989_P2,0
IAI39,55989_P2,1
IAI36,55989_P2,0
ECOR35,55989_P2,1
IAI58,55989_P2,0
ECOR36,55989_P2,1
NILS36,55989_P2,0
IAI35,55989_P2,1
IAI33,55989_P2,1
NILS01,55989_P2,0
PDP21,55989_P2,0
NILS39,55989_P2,1
NILS50,55989_P2,1
NILS46,55989_P2,1
LM08,55989_P2,0
NILS18,55989_P2,1
LM02,55989_P2,0
DIJ07,55989_P2,0
LM40,55989_P2,0
BDX03,55989_P2,0
IAI30,55989_P2,1
IAI27,55989_P2,1
ECOR47,55989_P2,1
IAI24,55989_P2,1
ECOR44,55989_P2,1
NILS38,55989_P2,1
NILS51,55989_P2,0
ECOR49,55989_P2,0
ECOR50,55989_P2,0
NILS56,55989_P2,1
ECOR46,55989_P2,0
NILS42,55989_P2,0
NILS52,55989_P2,0
ECOR48,55989_P2,1
NILS23,55989_P2,1
ROAR178,55989_P2,0
ROAR419,55989_P2,1
H10040017BM,55989_P2,1
H14,55989_P2,0
H10030010GJ,55989_P2,0
ROAR400,55989_P2,0
ROAR205,55989_P2,0
BCH953,55989_P2,0
H10020064EM,55989_P2,0
NILS49,55989_P2,1
LM07,55989_P2,1
H10010027SG,55989_P2,0
H10050058MA,55989_P2,1
NILS24,55989_P2,0
ROAR334,55989_P2,1
ROAR047,55989_P2,0
ROAR072,55989_P2,0
ROAR061,55989_P2,0
ROAR082,55989_P2,1
H4,55989_P2,0
H10010093RA,55989_P2,1
H48,55989_P2,1
H47,55989_P2,1
H70,55989_P2,0
H10010125BM,55989_P2,0
ECOR34,55989_P2,0
ECOR32,55989_P2,0
ECOR33,55989_P2,0
ECOR30,55989_P2,1
ECOR29,55989_P2,1
LF50,55989_P2,0
IAI01,55989_P2,1
ECOR67,55989_P2,1
NILS02,55989_P2,1
ECOR26,55989_P2,0
ECOR27,55989_P2,1
ECOR28,55989_P2,1
ECOR45,55989_P2,1
55989,55989_P2,1
IAI02,55989_P2,1
NILS33,55989_P2,1
IAI21,55989_P2,1
ECOR69,55989_P2,0
ECOR58,55989_P2,1
ECOR72,55989_P2,1
H10030071CJ,55989_P2,0
NILS47,55989_P2,1
H10050012LM,55989_P2,1
ECOR70,55989_P2,1
H10070037HD,55989_P2,1
H10030079GR,55989_P2,1
H10010131CA,55989_P2,0
H10030120PR,55989_P2,0
H10030088BJ,55989_P2,1
ECOR71,55989_P2,1
H10020060CT,55989_P2,0
NILS15,55989_P2,0
IAI43,55989_P2,1
H10060022LR,55989_P2,1
H10030116VR,55989_P2,1
H10010020MO,55989_P2,1
H10030090VJ,55989_P2,1
H10010013LJ,55989_P2,0
H10030105CR,55989_P2,0
H10030115LR,55989_P2,0
PDP110,55989_P2,0
IAI18,55989_P2,0
H10070015DG,55989_P2,0
NILS48,55989_P2,0
IAI41,55989_P2,1
H10040021WI,55989_P2,0
H10020007MM,55989_P2,0
